categories,Australia,"Australia, US","Belgique, en:france","Belgique,France","Belgique,France,Pays-Bas,Royaume-Uni","Belgium, Suisse",Canada,"Canada, US",Cuba,Deutschland,"Deutschland,Vereinigte Staaten von Amerika","Dinamarca,Estados Unidos,España",España,"España, Estados Unidos",France,"France, Suisse","France, US","France,Belgique,Pays-Bas,Royaume-Uni","France,Canada","France,Italie","France,Polynésie française","France,Royaume-Uni","France,Suisse,États-Unis,Canada","France,United Kingdom","France,United Kingdom,United States","France,United States","France,États-Unis","France,États-Unis,Suisse","Frankreich,Deutschland",Germany,Hong Kong,Italy,Mexico,México,Netherlands,Royaume-Uni,"Royaume-Uni,France",Saudi Arabia,Serbia,"Spain,United Kingdom,Scotland","Switzerland,United States","UK,France",US,"US,France",United Kingdom,"United Kingdom,France",United States,"United States, en:france","United States, en:france, en:switzerland","United States,France","United States,Germany","United States,Netherlands",États-Unis
"Sodas au citron,Boissons sucrées",,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodas au cola,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soupes de légumes en conserve,Soupes asiatiques",,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soy Drinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,,,,,,
Soymilk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,,,,,,
Spaghetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,
Spreadable fats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.55,,,,,,
"Spreads,Spreadable fats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Spreads,Spreadable fats,Butters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Squeezed-apple-juices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.846792452830188,,,,11.67,,,,,,
Steak pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,
Sugars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,80.0,,,,,,
"Sugars,Caster Sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,
Sugary snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,
"Sugary snacks,Bars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.166666666666664,66.7,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,,,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Cookies,Chocolate cookies,Cookies with milk chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Chocolates,Cookies,Bars,Candy bars,Chocolate chip cookies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Cookies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7375,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Cookies,Biscuits et gâteaux,Snacks sucrés,Chocolate cookies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.23333333333333,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Cookies,Biscuits et gâteaux,Snacks sucrés,Cookies with milk chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Cookies,Biscuits et gâteaux,Snacks sucrés,Cookies with milk chocolate,Cookies with chocolate and coconut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Cookies,Chocolate cookies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.900000000000006,,,,,,
"Sugary snacks,Biscuits and cakes,Biscuits,Sablés,Shortbread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,,,,,,,,
"Sugary snacks,Chocolates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,,50.8,,,,,,
"Sugary snacks,Chocolates,Dark chocolates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.25,,,,,,
"Sugary snacks,Chocolates,Milk chocolates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.875,,,,,,
"Sugary snacks,Chocolates,Milk chocolates,Chocolates with almonds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,,,,
"Sugary snacks,Confectioneries,Candies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,,,,,,,,,,,,,,,,73.55,,,,,,
"Sugary snacks,Confectioneries,Candies,Bonbons,Chocolates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6,,,,,,
"Sugary snacks,Confectioneries,Candies,Chocolates,Chocolates with almonds,Dark chocolates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,
"Sugary snacks,Confectioneries,Candies,Donuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,,,,,,
"Sugary snacks,Desserts,Biscuits and cakes,Cakes,Christmas Puddings,Puddings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,,,,
"Sugary snacks,Desserts,Biscuits and cakes,Cakes,Puddings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,
"Sugary snacks,Toaster pastries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1,,,,,,
Sunflower oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
"Surgelés,Chips et frites,Frites,Frites surgelées",,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Surgelés,Plats préparés,Pizzas tartes salées et quiches,Pizzas surgelées,Pizzas et tartes surgelées,Pizzas,Plats préparés surgelés",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.735
"Sweeteners,Sugars,Cane sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,
"Sweeteners,Syrups,Simple syrups,Maple syrups",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3,,,,,,
"Süßwaren,Bars,Cereal bars,Müsliriegel",,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tartar Sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,
Tea drinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
"Toaster pastries,Sugary snacks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,,,,,,
"Toasts,Tartines craquantes,Produits sans gluten,Biscottes",,,,,,,,,,,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tofu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Tomates en conserve,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,
"Tortilla chips,Corn chips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,,,,,,
"U,Parve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.95,,,,,,
"Vanilla bean yogurt,yogurt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,
"Vegetable oils,Sunflower oils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
"Viandes,Charcuteries,Jambons,en:Honey roast ham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,
"Viandes,Charcuteries,Saucisses,Chevreuil",,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viandes,Charcuteries,Saucissons,Salamis",,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viandes,Volailles,Poulets,Filets de poulet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
"Vinaigres,Vinaigres balsamiques",,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinaigrettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,
White chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,
"Whole wheat tortillas,tortillas,wheat tortillas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.61,,,,,,
bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,,,,,
beef jerky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,,,,,,
beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,
breakfast cereal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2,,,,,,
breakfast cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,,,,,,
brownie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,,,,,,
candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.89999999999999,,,,,,
canned common beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85,,,,,,
canned fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,
carbonated soda water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,
chocolate with raspberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,,,
"chocolate,dessert,sweets",,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,,,,,,
dark chocolates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,
de:Proteinpulver,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diet colas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,
en:Biscuits,,,,,,,,,,,,,,,,,,,,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en:Carrot & Coriander soup,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:artificially-sweetened-beverages, en:carbonated-drinks, en:non-alcoholic-beverages, en:non-sugared-beverages, en:beverages",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en:beverages,,,,,,,,,,,,,,,9.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,
en:fats,,,,,,,,,,,,,,,10.033333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:groceries, en:condiments, en:sauces, en:soy-sauces",,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:groceries, en:sauces",,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:non-sugared-beverages, en:beverages",,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:plant-based-foods-and-beverages, en:plant-based-beverages, en:fruit-based-beverages, en:sugared-beverages, en:beverages",,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:noodles, en:instant-noodles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,
"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:canned-foods, en:canned-plant-based-foods, en:desserts, en:fruits-based-foods, en:canned-fruits, en:fruits-in-syrup, en:peaches-in-syrup",,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:fruits-based-foods, en:dried-products, en:fruits, en:nuts-and-their-products, en:dried-plant-based-foods, en:nuts, en:dried-fruits",,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:fruits-based-foods, en:salty-snacks, en:appetizers, en:fruits, en:nuts-and-their-products, en:nuts, en:pistachios, fr:Pistaches grillées sans sel",,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:plant-based-foods-and-beverages, en:plant-based-foods, en:spreads, en:legumes-and-their-products, en:plant-based-spreads, en:nuts-and-their-products, en:oilseed-purees, en:nut-butters, en:legume-butters, en:peanut-butters, en:fats",,,,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:plant-based-foods-and-beverages, en:plant-based-foods, en:spreads, en:plant-based-spreads, en:nuts-and-their-products, en:chestnut-spreads",,,,,,,,,,,,,,,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:cookies",,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flapjack,,,,,,,,,,,,,,,,,,,,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fr:Crackers,Crackers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4,,,,,,,
"fr:Crèmes de coco,en:Coconut creams",,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr:Fruits au sirop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,
"fr:Jus de noix de coco, en:beverages",,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr:Pains-Burgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.21333333333333,,,,,,,,,,
fr:Pâtes à tartiner aux noisettes et au cacao,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fr:ratatouille provençale,fr:ratatouille",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
frozen foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,,
"grated coconut,coconut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,
ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,
pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.85,,,,,,
pasta sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.949999999999999,,,,,,
pastas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.67,,,,,,
pistaches,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,55.35708860759494,,,,,,,,,,
"preparation for panna cotta,preparation for dessert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,
sablés,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,
sliced bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,,,,
snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,
"snacks,cookies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,
spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
unsalted butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73,,,,,,
